Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Literasi,Daily needs; Self Wear,Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
Edukasi,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle,edukasi,Netral,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Seni; Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Daily needs,Sangat Setuju,Tidak Setuju,Tidak Setuju,Netral
Alat Seni; Buku Non-Fiksi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Alat Seni; Daily needs,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Buku Non-Fiksi; Edukasi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle,Alat Seni; edukasi,Netral,Setuju,Setuju,Tidak Setuju
Alat Seni; Komik,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional; Seni,Self Wear; edukasi,Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Seni,Self Wear; edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Komik,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi,edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni; Buku Anak,Website Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Novel Fiksi; Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Literasi; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Setuju
Alat Seni; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi; Seni,edukasi,Setuju,Netral,Sangat Setuju,Sangat Setuju
Buku Non-Fiksi; Komik; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Lifestyle; Seni,Alat Seni; edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Buku Anak; Edukasi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Self Wear; edukasi,Setuju,Sangat Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Literasi; Seni,edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral
Buku Anak; Buku Non-Fiksi; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi; Seni,edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Komik,Toko buku independen lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
Edukasi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Literasi,Daily needs,Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,Toko Gramedia,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,edukasi,Netral,Sangat Tidak Setuju,Netral,Netral
Alat Kantor/Sekolah; Sport & mainanan,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Lifestyle,Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi,Alat Seni; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Netral,Setuju
Alat Kantor/Sekolah; Alat Seni,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Literasi,Alat Seni,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,Alat Seni,Sangat Setuju,Tidak Setuju,Sangat Setuju,Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle; Seni,edukasi,Setuju,Tidak Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah; Komik,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi; Seni,edukasi,Tidak Setuju,Netral,Sangat Tidak Setuju,Setuju
Alat Seni; Edukasi; Sport & mainanan,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Seni,edukasi,Netral,Sangat Setuju,Setuju,Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Komik,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Seni,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Aktivitas Rekreasional; Literasi; Seni,Self Wear,Setuju,Setuju,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi; Seni,edukasi,Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi; Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Literasi; Seni,Alat Seni; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah,Toko Gramedia,Kado atau hadiah; Untuk mengekspresikan kreativitas,Literasi; Seni,Daily needs; edukasi,Tidak Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Sport & mainanan,Aplikasi Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Lifestyle; Literasi,Daily needs,Sangat Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
Alat Seni; Buku Anak; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi; Seni,Self Wear; edukasi,Netral,Setuju,Setuju,Sangat Tidak Setuju
Sport & mainanan,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle,Daily needs; Self Wear,Sangat Setuju,Netral,Netral,Tidak Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Seni,edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Setuju
Novel Fiksi,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Literasi,Daily needs; Self Wear; edukasi,Setuju,Tidak Setuju,Setuju,Tidak Setuju
Alat Seni; Buku Non-Fiksi,Toko alat tulis lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Seni,Daily needs; edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Buku Anak,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Untuk mengekspresikan kreativitas,Lifestyle; Literasi,Self Wear; edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Netral
Edukasi; Sport & mainanan,Toko Gramedia,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Alat Seni; Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Daily needs,Sangat Setuju,Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,Website Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Alat Seni; Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
Alat Seni; Buku Non-Fiksi,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Setuju,Netral
Alat Kantor/Sekolah; Edukasi; Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Alat Seni; Buku Non-Fiksi; Edukasi,Toko Gramedia,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Alat Seni,Sangat Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Daily needs; Self Wear; edukasi,Netral,Sangat Setuju,Sangat Tidak Setuju,Netral
Komik; Novel Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi; Seni,Self Wear,Tidak Setuju,Setuju,Netral,Netral
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Toko Gramedia,Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Literasi,Alat Seni; Self Wear; edukasi,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju
Komik; Sport & mainanan,Toko Gramedia,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Daily needs; edukasi,Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
Alat Seni; Edukasi,Aplikasi Gramedia.com,Hiburan atau relaksasi,Seni,Alat Seni; Self Wear; edukasi,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Non-Fiksi; Komik,Website Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi,edukasi,Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
Sport & mainanan,Toko buku independen lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni; edukasi,Netral,Netral,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Novel Fiksi,Toko Gramedia,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Alat Seni; edukasi,Sangat Tidak Setuju,Setuju,Netral,Netral
Komik,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni; Daily needs,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju
Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Literasi,Alat Seni; Self Wear; edukasi,Tidak Setuju,Setuju,Netral,Netral
Alat Kantor/Sekolah; Novel Fiksi,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Daily needs,Tidak Setuju,Setuju,Sangat Tidak Setuju,Setuju
Komik; Novel Fiksi; Sport & mainanan,Toko buku independen lainnya,Kado atau hadiah,Lifestyle; Seni,Daily needs; Self Wear; edukasi,Sangat Setuju,Netral,Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Lifestyle,Alat Seni,Tidak Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Alat Seni,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Komik,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Seni,Daily needs; edukasi,Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko alat tulis lainnya,"Kado atau hadiah; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Daily needs; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
Alat Seni; Buku Anak; Komik,Toko Gramedia,"Hiburan atau relaksasi; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Sport & mainanan,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Literasi,edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni; Buku Anak; Komik,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear; edukasi,Sangat Setuju,Netral,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi,Toko Gramedia,Hiburan atau relaksasi,Aktivitas Rekreasional; Lifestyle,Alat Seni; Daily needs; Self Wear,Sangat Setuju,Netral,Sangat Setuju,Setuju
Alat Seni; Edukasi; Sport & mainanan,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,Daily needs; Self Wear,Setuju,Netral,Setuju,Tidak Setuju
Alat Seni; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Literasi,Self Wear,Netral,Tidak Setuju,Tidak Setuju,Sangat Setuju
Buku Anak; Edukasi,Toko Gramedia,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi; Seni,edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi; Seni,Alat Seni; edukasi,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju
Komik; Sport & mainanan,Website Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Seni,Self Wear; edukasi,Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Edukasi; Sport & mainanan,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Literasi,Alat Seni; Self Wear; edukasi,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Seni,Self Wear; edukasi,Netral,Sangat Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Lifestyle,Self Wear,Setuju,Setuju,Tidak Setuju,Netral
Alat Seni; Edukasi; Komik,Toko Gramedia,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Literasi,Daily needs; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Netral,Setuju
Alat Seni; Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Self Wear; edukasi,Tidak Setuju,Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Non-Fiksi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi,Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Literasi; Seni,edukasi,Setuju,Netral,Sangat Tidak Setuju,Setuju
Buku Anak; Komik; Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,edukasi,Sangat Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Alat Seni; Daily needs; Self Wear,Sangat Tidak Setuju,Setuju,Sangat Setuju,Netral
Buku Non-Fiksi; Komik; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle,edukasi,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,Daily needs; edukasi,Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Seni,Toko Gramedia,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Komik; Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni; edukasi,Tidak Setuju,Sangat Setuju,Setuju,Tidak Setuju
Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
Sport & mainanan,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,edukasi,Netral,Setuju,Setuju,Netral
Alat Kantor/Sekolah; Komik,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Literasi,edukasi,Netral,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Alat Seni; Komik; Sport & mainanan,Toko buku independen lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju
Alat Seni; Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,edukasi,Netral,Sangat Tidak Setuju,Netral,Setuju
