Produk sering beli,Saluran belanja,Motivasi utama pembelian
Mainan/Collectible item,"Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya, Toko alat tulis lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
Alat Tulis Umum (Kantor/Sekolah),"Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Jurnal/Perencana (Planner), Alat Olahraga","Aplikasi Gramedia Digital (ebook), Website Gramedia.com, Aplikasi Gramedia.com","Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Website Gramedia.com,Hiburan atau relaksasi
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Komik/Novel Grafis",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Website Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Perlengkapan Seni/Kreatif","Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Buku Anak, Novel Fiksi, Alat Olahraga","Aplikasi Gramedia Digital (ebook), Toko Gramedia, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Perlengkapan Kantor atau Sekolah, Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Website Gramedia.com",Hiburan atau relaksasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga","Website Gramedia.com, Toko buku independen lainnya",Hiburan atau relaksasi
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Mainan/Collectible item","Website Gramedia.com, Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Alat Olahraga","Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Alat Musik, Komik/Novel Grafis, Alat Olahraga","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
Perlengkapan Seni/Kreatif,"Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik, Mainan/Collectible item",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com","Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah","Toko alat tulis lainnya, Toko buku independen lainnya, Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Alat Musik, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
"Mainan/Collectible item, Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Novel Fiksi","Aplikasi Gramedia.com, Toko buku independen lainnya, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis, Buku Anak","Toko Gramedia, Toko buku independen lainnya, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
Alat Musik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com",Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Buku Anak, Novel Fiksi, Mainan/Collectible item",Toko Gramedia,Untuk mengekspresikan kreativitas
"Novel Fiksi, Buku Anak",Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Alat Musik","Website Gramedia.com, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Komik/Novel Grafis,"Toko Gramedia, Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Toko alat tulis lainnya, Aplikasi Gramedia.com",Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Aplikasi Gramedia.com, Toko Gramedia","Kado atau hadiah, Untuk mengekspresikan kreativitas"
Perlengkapan Kantor atau Sekolah,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item","Toko buku independen lainnya, Website Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Tulis Umum (Kantor/Sekolah),"Toko alat tulis lainnya, Aplikasi Gramedia.com, Toko Gramedia","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia",Menambah pengetahuan
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Aplikasi Gramedia.com, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Kado atau hadiah
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Mainan/Collectible item, Alat Musik","Aplikasi Gramedia.com, Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com, Website Gramedia.com","Menambah pengetahuan, Hiburan atau relaksasi"
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Toko buku independen lainnya, Toko alat tulis lainnya",Hiburan atau relaksasi
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Website Gramedia.com, Toko alat tulis lainnya",Hiburan atau relaksasi
"Buku Anak, Alat Olahraga, Novel Fiksi","Toko Gramedia, Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Musik, Buku Anak, Novel Fiksi","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Novel Fiksi, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Komik/Novel Grafis","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com",Hiburan atau relaksasi
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Aplikasi Gramedia Digital (ebook)",Menambah pengetahuan
"Buku Anak, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Novel Fiksi","Toko Gramedia, Website Gramedia.com, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi","Website Gramedia.com, Toko buku independen lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Alat Musik","Toko buku independen lainnya, Toko alat tulis lainnya, Aplikasi Gramedia.com","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Komik/Novel Grafis,"Toko Gramedia, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
Jurnal/Perencana (Planner),Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Alat Olahraga","Toko Gramedia, Aplikasi Gramedia.com, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Toko buku independen lainnya,Menambah pengetahuan
"Buku Anak, Perlengkapan Seni/Kreatif",Toko Gramedia,Hiburan atau relaksasi
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Hiburan atau relaksasi"
Mainan/Collectible item,"Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com",Untuk mengekspresikan kreativitas
"Mainan/Collectible item, Alat Musik, Jurnal/Perencana (Planner)","Aplikasi Gramedia Digital (ebook), Toko Gramedia, Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik","Toko buku independen lainnya, Toko alat tulis lainnya, Website Gramedia.com","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,Hiburan atau relaksasi
"Alat Olahraga, Mainan/Collectible item, Buku Anak",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Musik, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Hiburan atau relaksasi"
Mainan/Collectible item,"Toko Gramedia, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Kado atau hadiah"
Alat Tulis Umum (Kantor/Sekolah),"Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Buku Anak, Mainan/Collectible item, Alat Musik","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook), Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Website Gramedia.com","Hiburan atau relaksasi, Menambah pengetahuan"
Novel Fiksi,"Aplikasi Gramedia Digital (ebook), Website Gramedia.com, Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Hiburan atau relaksasi"
Komik/Novel Grafis,Website Gramedia.com,"Hiburan atau relaksasi, Kado atau hadiah, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
"Mainan/Collectible item, Jurnal/Perencana (Planner)","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com","Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan"
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia.com, Toko alat tulis lainnya, Website Gramedia.com","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Alat Musik","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Perlengkapan Seni/Kreatif","Website Gramedia.com, Toko Gramedia","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Tulis Umum (Kantor/Sekolah),"Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,"Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Mainan/Collectible item",Toko Gramedia,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Alat Musik",Website Gramedia.com,Menambah pengetahuan
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Menambah pengetahuan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item","Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Menambah pengetahuan"
Mainan/Collectible item,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kado atau hadiah"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi, Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia.com, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Website Gramedia.com, Aplikasi Gramedia.com","Hiburan atau relaksasi, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Kantor atau Sekolah,"Aplikasi Gramedia.com, Website Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
