Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan",Travelling
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Travelling, Melukis atau menggambar "
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Komik/Novel Grafis",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Hiburan atau relaksasi, Kado atau hadiah","Melukis atau menggambar , Belanja online/offline, Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline
Novel Fiksi,Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Membaca buku atau majalah , Bermain musik, Olahraga"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Novel Fiksi",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Membaca buku atau majalah , Bermain game (offline/online), Menghadiri acara budaya atau edukasi"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Belanja online/offline
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan,"Bermain musik, Menulis (diari, blog, atau lainnya)"
"Buku Anak, Jurnal/Perencana (Planner), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Menghadiri acara budaya atau edukasi
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Olahraga"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Komik/Novel Grafis",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Olahraga
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah 
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar , Olahraga, Membaca buku atau majalah "
"Buku Anak, Novel Fiksi, Alat Olahraga",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online)
"Buku Anak, Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Olahraga
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Melukis atau menggambar , Belanja online/offline, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Membaca buku atau majalah , Melukis atau menggambar , Travelling"
"Komik/Novel Grafis, Alat Olahraga",Website Gramedia.com,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Membaca buku atau majalah "
"Alat Musik, Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
Perlengkapan Seni/Kreatif,Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Melukis atau menggambar 
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online)
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Belanja online/offline, Melukis atau menggambar "
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Menambah pengetahuan,Melukis atau menggambar 
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online), Belanja online/offline, Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar 
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Melukis atau menggambar , Olahraga"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Bermain game (offline/online)"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Membaca buku atau majalah "
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Travelling, Membaca buku atau majalah "
"Alat Musik, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Menghadiri acara budaya atau edukasi"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Travelling, Bermain musik, Belanja online/offline"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Bermain musik, Bermain game (offline/online), Membaca buku atau majalah "
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Novel Fiksi",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis, Buku Anak",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Belanja online/offline
Alat Olahraga,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Melukis atau menggambar , Travelling"
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Membaca buku atau majalah , Travelling, Olahraga"
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah","Bermain game (offline/online), Olahraga"
"Buku Anak, Novel Fiksi, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Membaca buku atau majalah , Travelling"
"Novel Fiksi, Buku Anak",Toko Gramedia,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Melukis atau menggambar , Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
Komik/Novel Grafis,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Travelling, Belanja online/offline"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Olahraga, Bermain musik"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Kado atau hadiah","Bermain musik, Menulis (diari, blog, atau lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko alat tulis lainnya,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Belanja online/offline, Membaca buku atau majalah "
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Melukis atau menggambar , Bermain musik"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Hiburan atau relaksasi, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar , Bermain musik"
"Mainan/Collectible item, Alat Musik",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Melukis atau menggambar , Belanja online/offline"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik, Olahraga, Melukis atau menggambar "
Alat Musik,Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Olahraga
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Toko Gramedia,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah 
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Membaca buku atau majalah , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)"
"Buku Anak, Alat Olahraga, Novel Fiksi",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
"Alat Musik, Buku Anak, Novel Fiksi",Website Gramedia.com,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Melukis atau menggambar "
"Mainan/Collectible item, Novel Fiksi, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Bermain musik, Bermain game (offline/online)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Komik/Novel Grafis",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Travelling, Bermain game (offline/online)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Menulis (diari, blog, atau lainnya), Travelling"
"Buku Anak, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Bermain musik, Bermain game (offline/online)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Belanja online/offline, Bermain game (offline/online)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Bermain musik, Travelling, Melukis atau menggambar "
"Perlengkapan Seni/Kreatif, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Melukis atau menggambar "
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Travelling"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
"Jurnal/Perencana (Planner), Alat Olahraga",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Travelling, Membaca buku atau majalah , Bermain musik"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Belanja online/offline, Travelling"
"Buku Anak, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Belanja online/offline, Bermain musik"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
Mainan/Collectible item,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan",Olahraga
"Mainan/Collectible item, Alat Musik, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Kado atau hadiah, Hiburan atau relaksasi","Bermain musik, Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Toko buku independen lainnya,Menambah pengetahuan,Belanja online/offline
Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Melukis atau menggambar , Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Belanja online/offline"
"Alat Olahraga, Mainan/Collectible item, Buku Anak",Toko Gramedia,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menghadiri acara budaya atau edukasi"
"Alat Musik, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Olahraga
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Membaca buku atau majalah , Menghadiri acara budaya atau edukasi"
